evals,median,q25,q75
3640,23.75739266867592,21.723654586839523,26.65798669663846
3720,23.73458618355359,20.750698263493703,26.44502274776942
3800,22.76503496220036,20.036007225160482,25.5151221100187
3880,21.503117486892776,18.90970107241639,24.42705833037656
3960,21.1427679486589,18.33823542194355,22.984612477721292
4040,20.841298919693685,18.33823542194355,22.315285809556904
4120,19.518169701044243,17.600410621570873,21.50030328214625
4200,19.289149951610668,17.496341115307985,21.342181747407366
4280,18.563225009529987,17.459836952131013,20.518576309468862
4360,17.991954215940595,17.038362943444923,20.36705551685798
4440,17.991954215940595,16.690777611308235,20.35201069653045
4520,17.48604058001436,16.414817822163172,19.907228035545202
4600,17.48604058001436,16.414817822163172,19.672163983223683
4680,17.302831159423107,15.776032883220765,19.483357839040004
4760,17.225298414082346,15.575335370458767,19.04341172941693
4840,16.958528733052106,15.575335370458767,18.982606841683946
4920,16.745427735231658,15.575335370458767,18.878963296107514
5000,16.745427735231658,14.89575876773781,18.70385750351025
5080,16.273418785019643,14.257196227105482,18.59344578068216
5160,16.273418785019643,14.253559462636225,18.426010350806997
5240,16.215918099847528,14.186168069551528,18.37842337940051
5320,16.215918099847528,14.126361345768125,18.37842337940051
5400,16.07574994114313,13.981964068925265,18.16115015122483
5480,15.869568131510718,13.892624225056707,18.133457589378523
5560,15.835798415458711,13.874735122527056,18.133457589378523
5640,15.692805105073418,13.853265950826405,17.950780970304855
5720,15.671517150568107,13.750606888601247,17.94252029451878
5800,15.661733561832222,13.704738691963328,17.88505940890935
5880,15.616229406182939,13.687902453449055,17.82159178562955
5960,15.555721364255916,13.681341003593523,17.810315757941503
6040,15.498127275906128,13.559572236006687,17.802393836830255
6120,15.49577813210037,13.383440794725523,17.7534605409736
6200,15.394236435752617,13.3801086682124,17.736112918734676
6280,15.355523711217415,13.3801086682124,17.724002887747183
6360,15.268932154508562,13.324479666079299,17.633708589043557
6440,15.232510101435537,13.274050898763235,17.61109304914548
6520,15.224458687799142,13.224029342723192,17.61109304914548
6600,15.173328045242172,13.200224786509182,17.5876907698122
6680,15.159703918818565,13.188234057502065,17.578568432736155
6760,15.152169659009402,13.131870123637277,17.574899338808528
6840,15.152169659009402,13.10918623068686,17.574500800314695
6920,15.118743083785702,13.096483246888184,17.552630420289546
7000,15.104497159437585,13.077559167154334,17.5367134212319
7080,15.085551788772321,13.077559167154334,17.513792121285604
7160,15.082625639725535,13.051657448768104,17.50447293323488
7240,15.076567056114385,13.031194041964554,17.489599756569298
7320,15.067872514695551,13.030483032036557,17.474870273885628
7400,15.058997818973054,13.027300249351562,17.474324468475047
7480,15.024034306704735,13.026033351971556,17.471876195726416
7560,15.024034306704735,13.018804091540972,17.471876195726416
7640,15.015806432247828,13.008492872076715,17.46501275073289
7720,15.01246538948385,12.997201305113926,17.46501275073289
7800,15.01246538948385,12.997010297010569,17.456847442794682
7880,15.005203480737023,12.99089396745422,17.44357428291918
7960,15.004745689979956,12.98562919660705,17.442441584442
8040,14.986055352121014,12.98562919660705,17.440318543379774
8120,14.97843820299444,12.982650963786256,17.438085753002134
8200,14.978150880908956,12.979031435721076,17.43695643554564
8280,14.974180464120323,12.977988474522839,17.43497978697895
8360,14.969210281952513,12.9692007210256,17.43414888722696
8440,14.96063676939086,12.965875939894929,17.43286901496844
8520,14.95969313317211,12.95946290936525,17.431499355042426
8600,14.955218042622477,12.959358549274853,17.429336701724566
8680,14.953158970873929,12.958193424821587,17.42666519848693
8760,14.94748673587155,12.956441599391653,17.423797912558136
8840,14.94412359620155,12.956297528351008,17.423472637811543
8920,14.943960508477872,12.95174111213646,17.42183338978746
9000,14.942937202842145,12.95062130313027,17.420870778409608
9080,14.94170180831172,12.949469745657723,17.420662984045236
9160,14.940360600050994,12.949029921004076,17.419862398691727
9240,14.939792355537733,12.946127383611952,17.418410274075747
9320,14.935926190818662,12.944864500163817,17.41825646268797
9400,14.935666166453032,12.943663961473575,17.417986082765573
9480,14.934101987765146,12.943663961473575,17.416518399880083
9560,14.934062634072092,12.94329759042656,17.416151568742556
9640,14.93391801940858,12.942473447358275,17.415920338748258
9720,14.932748149869653,12.942294988115293,17.415107385379457
9800,14.932748149869653,12.941604621530729,17.41475275002373
9880,14.931681292236519,12.940914568964217,17.41454367630066
9960,14.930606715950319,12.94045835693057,17.414370087984032
10040,14.930356242807377,12.939929194106746,17.414299962868355
10120,14.928574173464838,12.939778910000364,17.4142482247725
10200,14.928574173464838,12.939159710088298,17.4142482247725
10280,14.928574173464838,12.938650602808174,17.413992412503234
10360,14.928344887517369,12.938636171903468,17.413754001379452
10440,14.927464801768195,12.937905794077437,17.413572072106156
10520,14.927189356454662,12.937799363432681,17.413199279976915
10600,14.927189224388101,12.937666947546106,17.413199279976915
10680,14.926566945405426,12.937307826752658,17.41295541260424
10760,14.926560516609669,12.936924827397746,17.412928133022923
10840,14.926293039031677,12.936924827397746,17.412715073055388
10920,14.926170492177178,12.936615142715738,17.412668040145824
11000,14.925855889683504,12.936453225151062,17.412606268002875
11080,14.925826620847204,12.936424373577303,17.41242675431974
11160,14.925575932422618,12.936240423801614,17.41242675431974
11240,14.925513393761037,12.935910575355386,17.412375685353823
11320,14.925505564173406,12.935814367444245,17.412320468723173
11400,14.925397859314302,12.935582216522157,17.412206720137412
11480,14.925102447375608,12.935536686558677,17.412175138566546
